Name,Tags
Bubble Bee Cafe,"['Cafe', 'Desserts', 'Cakes']"
Zero 1297,['Coffee']
Figaro Coffee,"['Pasta', 'Breakfast', 'International']"
Yemen Hadhramout,"['Yemeni', 'Desserts', 'Arabic']"
Shaklaan Grocery,"['Grocery', 'Supermarket']"
Chez Mazen Restaurant,"['Qatari', 'Grills', 'Sandwiches']"
Turkish Grill House,"['Beverages', 'Grills', 'Turkish']"
Crono Watches,['Accessories ']
Polpo Restaurant,"['Manaqeesh', 'American', 'Seafood']"
Donutty,"['Cafe', 'Desserts', 'Donuts']"
5 Min Burger,"['Breakfast', 'BBQ']"
Crack Cafe,"['Cafe', 'Sandwiches', 'Salad']"
Al Hallab Restaurants & Sweets,['Desserts']
Mr.Kubbah,['Arabic']
Lemdiina Coffee Shop,"['Sandwiches', 'Breakfast', 'Cafe']"
Zad Al Khair Dates,"['Specialty Store', 'Supermarket', 'Grocery']"
Flow Specialty Coffee,"['Cafe', 'Beverages']"
Magma Cafe,"['Desserts', 'Cakes', 'Cafe']"
Battle Of The Brands,['International']
New My Mart,"['Grocery', 'Supermarket']"
Premium Brand - Home Decor,"['Specialty Store', 'Supermarket', 'Accessories ', 'Grocery']"
Al Thahira Cafeteria Juice Stall,"['Burgers', 'Cafeteria']"
Bait Al Daleem,['Pakistani']
Majlis Al Rayyan  Restaurant,"['Qatari', 'Shawarma', 'Grills']"
Shawarma Stop,['Arabic']
Tea Madeena,"['Street food', 'Asian']"
Express Way Trading,['Electronics']
Le Monot Gourmet,"['Lebanese', 'Grills']"
Brewskis and Grub Restaurant,"['Mexican', 'Vegan', 'Burgers']"
Ariana Afghan Al Mandi,"['Mandi', 'Grills']"
Karak Spicy,"['Breakfast', 'Sandwiches', 'Desserts']"
Arabian Mandhi,"['Arabic', 'Mandi', 'Grills']"
Vox Cinemas Doha Oasis,"['Snacks', 'Burgers', 'Beverages']"
Al Mohyt Hypermarket,"['Grocery', 'Supermarket']"
Food and Juice Cafe,"['Burgers', 'Indian', 'Cafeteria']"
Al Halaby Restaurant,"['Arabic', 'Grills']"
Bazooka Restaurant,"['Arabic', 'Pastries']"
Baba Tea,"['Sandwiches', 'Burgers']"
Fait Maison,['International']
Al Wafa Optics,['Speciality Store']
The Approved Market,"['Grocery', 'Convenience Store']"
Rosita's Karinderya at Panaderya,['Seafood']
Baba Abdo Bakery,"['Bakery', 'Pastries & Sweets', 'Pizza']"
Damage Cafe,"['Desserts', 'Coffee', 'Cafe']"
TAIBA PHARMACY,['Pharmacy']
Vortex Coffee shop,"['Cafe', 'Beverages', 'Pancakes']"
Crafter,"['Italian', 'Sandwiches', 'Desserts']"
Shoprite,"['Grocery', 'Supermarket']"
Street Feast,"['Mandi', 'Seafood']"
Pinkberry,"['Desserts', 'Ice Cream', 'Frozen Yogurt']"
Loading Cafeteria,"['BBQ', 'Steaks', 'Fried Chicken']"
Rollstar shawarma & falafel,"['Lebanese', 'Shawarma', 'Breakfast']"
Everyday Roastery Coffee,"['Coffee', 'Bakery', 'International']"
South Restaurant,"['Indian', 'Arabic']"
Annapoorna Indian Chettinad Restaurant,"['Chinese', 'Biryani', 'Street food']"
Doha Samovar Restaurant,"['Breakfast', 'BBQ']"
The Butcher Shop & Grill - Retail,"['Specialty Store', 'Supermarket', 'Fresh Meat & Fish', 'Grocery']"
Kayk Sweets,"['Cakes', 'Ice cream', 'Desserts']"
Tea Social cafe,"['Bubble tea', 'Juices']"
Pasta Foundry,"['Pasta', 'Italian', 'Healthy']"
Abajour Restaurant,"['Arabic', 'Breakfast', 'Lebanese']"
Chef Alfreej,"['Qatari', 'Arabic', 'Beverages']"
Kitchen Palace,"['Arabic', 'Mandi', 'Qatari']"
Florist Room,"['Flowers', 'Charity ']"
Fatayer Alrawshah,"['Pastries', 'Pies', 'Sandwiches']"
Twenty Eight Coffee,"['Desserts', 'Cakes', 'Cafe']"
Malak Al Tawouk,"['Lebanese', 'Sandwiches']"
AL Majles AL Diyafa,"['Egyptian', 'Breakfast', 'Grills']"
Outlier Specialty Coffee,"['Cafe', 'Desserts', 'Juices']"
Al Bisana Restaurant,"['Chicken', 'Biryani']"
Rays Jerk Shack,"['Jamaican', 'Grills', 'Chicken']"
Rzeez Gahwah wa sherah,"['Cafe', 'Qatari']"
Trend Square Trading,['Electronics']
Tasty Burger,"['Burgers', 'International', 'Beverages']"
Yemeni Kitchen,"['Burgers', 'Sandwiches']"
Royal Panoor Restaurant,"['Indian', 'Asian', 'Biryani']"
Walter's Coffee Roastery,"['Coffee', 'Cafe']"
Cheval,"['Arabic', 'Breakfast']"
Wok Of Fame,"['Chinese', 'Thai', 'Noodles']"
Zoara,"['Qatari', 'Coffee', 'Desserts']"
Masaya Catering,"['Lebanese', 'Arabic']"
Al Wakra Tower Restaurant,"['Indian', 'Fast Food']"
1990 Nineteen Ninety,"['International', 'Pasta', 'Pizza']"
Taste Of Mumbai,"['Breakfast', 'BBQ']"
Do Cafe,"['Coffee', 'Desserts']"
Pinkberry,"['Desserts', 'Frozen Yogurt']"
Half Mix Restaurant,"['Bakery', 'Shawarma', 'Grills']"
Fino Restaurant,"['Qatari', 'Pasta', 'Fast Food']"
Tantuni,"['Sandwiches', 'International']"
La Peonia Flowers And Chocolate,['Flowers']
Burger and More,"['Burgers', 'Beverages']"
Ali Baba Turkish Restaurant,['Turkish']
Proper Sliders,"['Sliders', 'American', 'Wings']"
Acai Rush,"['Acai', 'Healthy', 'Smoothies']"
Tylos Pharmacy,['Pharmacy']
Opera Patisserie,"['Cakes', 'Desserts', 'Qatari']"
Chai Cuppa Cafeteria,"['Cafeteria', 'Breakfast', 'Cafe']"
Pasturger,"['Pizza', 'Pasta', 'American', 'Burgers']"
Lanoisette Restaurant,"['Arabic', 'Fast Food', 'Bakery']"
Thiru Supermarket,"['Grocery', 'Supermarket']"
Premium Brand - Home Decor,"['Specialty Store', 'Supermarket', 'Accessories ', 'Grocery']"
Smoothie Panda,"['Desserts', 'Ice Cream', 'Cafe']"
Churros & More Cafe,"['Cafe', 'Coffee']"
Al Halabi House Restaurant,"['Breakfast', 'Grills', 'Sandwiches']"
CHAI N MOMO,"['Burgers', 'Fast Food']"
Al Kafile Al Arabia Trading,['Speciality Store']
Army Burger,"['Burgers', 'Sandwiches', 'American']"
Bonpresso Cafe,"['Cafe', 'Desserts', 'Pasta', 'Cakes', 'Milkshakes', 'Crepes', 'Tea']"
Ghasaq Cafe and Restaurant,"['Street food', 'Sandwiches']"
Party Maker,"['Flowers', 'Speciality Store']"
Sushi Library,"['Sushi', 'Seafood', 'Japanese']"
Al Thahira Cafeteria Juice Stall,"['Burgers', 'Cafeteria']"
Faces Cafe,"['Street food', 'Pizza']"
Grey Speciality Coffee,"['Cafe', 'Sandwiches', 'Desserts']"
Lean And Fit Restaurant,"['Acai', 'Breakfast', 'Poke']"
La Cantine Restaurant,"['Healthy', 'International', 'Pizza']"
Fruitlicious,"['Beverages', 'Desserts', 'Healthy']"
Marasem for Flowers Chocolates and Events,['Flowers']
Kunuz Al Tadawi,['Cosmetics']
Yummy Delicious,"['Chocolate', 'Desserts', 'Qatari']"
Atc Sanitizers And Natural Cleaners,['Pharmacy']
Al Sostagya Restaurant,"['Egyptian', 'Arabic', 'Grills']"
Ichiban Dessert Cafe,"['Cafe', 'Beverages', 'Coffee']"
Pinkberry,"['Desserts', 'Ice Cream', 'Frozen Yogurt']"
Plaza Hollandi,['Flowers']
Vibe Cafe,"['Cafe', 'Healthy', 'Beverages']"
Smiley Grocery,"['Grocery', 'Supermarket']"
Majlis Istanbul Restaurant,"['Turkish', 'Grills', 'Sandwiches']"
Abo Shariha,"['Breakfast', 'Sandwiches', 'Bakery']"
Robby Trading,['International']
Palace of flowers,['Flowers']
Texas De Brazil,"['Brazilian', 'Grills', 'International']"
Le Vesuvio Restaurant,"['Italian', 'Pizza']"
Anabolic kitchen,"['Healthy', 'Beverages']"
Sofrat Alnoktha Kitchen,"['Qatari', 'Biryani', 'Seafood']"
Al Jalsa Sweets And Fries,"['Indian', 'Asian', 'Beverages']"
Felucca Seafood Restaurant,"['Seafood', 'Fish & chips']"
&deli Mediterranean Fusion Restaurant,"['Italian', 'Turkish', 'Greek']"
Athwaq Liftair And Mashawy,"['Grills', 'Arabic', 'BBQ']"
75°,"['Burgers', 'Fast Food']"
Moo,"['Cafe', 'Desserts', 'Cakes']"
Zein Pharma Trading,['Pharmacy']
Chai Mkhadar,"['Cafe', 'Sandwiches', 'Desserts']"
Best Pharmacy,['Pharmacy']
Adhamiya Iraqi Restaurant,"['Soup', 'Seafood']"
Ginger House Grill And Restaurant,"['Fast Food', 'Sandwiches', 'Indian']"
Cafeteria Blue Lagoon,['Asian']
Jaal Restaurant,['Indian']
Caf Cafe,"['Coffee', 'Cafe']"
Um Ali and more,"['Arabic Sweets', 'Coffee', 'Cakes and Desserts']"
Al Khariss Cafe,"['Lebanese', 'Arabic', 'Sandwiches']"
Mojito And Sweets Cafe,"['Cafe', 'Coffee']"
Pinoy Fiesta Restaurant,"['Asian', 'BBQ', 'Grills']"
Pak Pakwan Restaurant,"['Pakistani', 'Biryani', 'Indian']"
Nook Restaurant,"['International', 'Cafe', 'Desserts']"
Eclat Cakes and Chocolate,"['Cakes and Desserts', 'Pastries & Sweets', 'Chocolate']"
Bao Restaurant,"['Sandwiches', 'Japanese', 'Bowls']"
Babylon Restaurant,['Arabic']
Malabar Palace,"['Asian', 'Fast Food', 'Cafe']"
Eva Lounge,"['Cafe', 'Desserts', 'International']"
The Bloom Room Flowers,['Flowers']
BLK Cafe,"['French', 'Crepes', 'Desserts']"
Lira Restaurant,"['Arabic', 'Breakfast', 'Grills']"
Outback Steakhouse,"['Steaks', 'American', 'Grills']"
Hawader Restaurant,"['Turkish', 'Fast Food']"
Premium Brand - Gaming and Electronics,['Accessories ']
Iceberg House of Falooda,"['Arabic Sweets', 'Chocolate', 'Beverages']"
Harem Chocolate Cafe,"['Cafe', 'Desserts']"
New Roti And Boti Restaurant,"['Breakfast', 'BBQ']"
Jashan Restaurant,"['Curry', 'Indian', 'Cafeteria']"
Go Hoops,"['American', 'Sandwiches']"
Roads street food restaurant,"['Burgers', 'Fast Food']"
Taco Eataco,"['Mexican', 'Bowls', 'Healthy']"
RP Tech,['Electronics']
Barber Al-Sham Restaurant,"['Pastries', 'Shawarma']"
Laboca,"['Argentinian', 'Mezze', 'Lebanese', 'Bakery']"
Al Halaby Restaurant,"['Arabic', 'Grills']"
Brother's Pizza,"['Italian', 'Pizza', 'Fast Food']"
Elite Restaurant,"['Pizza', 'Pasta', 'Soup']"
Kandaka Restaurant,['Arabic']
Alkout Kitchens,"['Arabic', 'Mandi', 'Kuwaiti']"
Awani,"['BBQ', 'Grills']"
Oxygen Pharmacy,['Pharmacy']
Healthy diet,"['Qatari', 'Healthy', 'Salad']"
Bin Kulaib Kitchen,"['Qatari', 'Arabic', 'Seafood']"
Flower Garden,"['Chocolate', 'Flowers']"
Sofrat Alnoktha Kitchen,"['Qatari', 'Biryani', 'Seafood']"
Qatar Cancer Society,['Charity ']
Chick N Pot,"['Chicken', 'Burgers', 'Grills']"
Mado Turkey,"['Turkish', 'International', 'Ice Cream']"
Corto Cafe,"['Cafe', 'Desserts', 'Ice Cream']"
Garey,"['Accessories ', 'Electronics']"
Noorjehan Msheireb Cafe,"['Asian', 'Biryani', 'Street food']"
Tawook Republic,"['Arabic', 'Grills']"
Poco loco,"['Mexican', 'Tacos', 'American']"
Oxygen Pharmacy,['Pharmacy']
Dalchini,"['Breakfast', 'BBQ']"
Kabul Restaurant,['Pakistani']
Tche Tche Express Restaurant,"['Sandwiches', 'Desserts', 'Pizza']"
Rollstar shawarma & falafel,"['Lebanese', 'Shawarma', 'Breakfast']"
Jarnen,"['Mezze', 'Grills', 'Lebanese']"
Eggs & Shine,"['Breakfast', 'Desserts', 'Wraps']"
Revan Sweets And Flowers,"['Flowers', 'Grocery', 'Specialty Store', 'Supermarket', 'Chocolate']"
Hala Trading And Marketing,['Grocery']
Do Cafe,"['Coffee', 'Desserts']"
The Coffee Club,"['International', 'Coffee', 'Sandwiches']"
Sazeli Gourmet,"['Specialty Store', 'Supermarket', 'Nuts & Dried Fruit', 'Grocery']"
Brisket House Restaurant,"['Qatari', 'BBQ', 'Grills']"
Damasca One,"['Arabic', 'Syrian', 'Grills']"
Verify Specialty Coffee,['Cafe']
Orient Pearl Restaurant,"['Arabic', 'Middle eastern', 'Grills']"
Basta Restaurant 23,"['Qatari', 'Breakfast']"
Plan B,"['Burgers', 'Beverages', 'American']"
Alamat Trading,['Electronics']
Rare Group Garments,"['Specialty Store', 'Accessories ']"
Laohu,['Asian']
Bombay Chowpatty,"['Curry', 'Indian', 'Asian']"
Memo's Factory,"['Desserts', 'Cafe', 'Sandwiches']"
Oriental Restaurant,"['Indian', 'BBQ', 'Grills']"
Original Restaurant,"['Burgers', 'Street food']"
Twins 22 Cafe,"['Cafe', 'Desserts', 'Beverages']"
Dawaa Plus Pharmacy,"['Pharmacy', 'Supplement']"
The Eclair Kitchen,"['Qatari', 'Arabic Sweets', 'Cakes']"
Dunia,"['Mezze', 'Lebanese', 'Arabic']"
Happiness Hormones,"['Desserts', 'Beverages', 'Cafe']"
Al Wakra Tower Restaurant,"['Indian', 'Fast Food']"
Mug Coffee And Roastery,"['Coffee', 'Desserts', 'International']"
Texas De Brazil,"['Brazilian', 'Grills', 'International']"
BY F,"['International', 'Pasta', 'Chicken']"
Peal Juice Bars,"['Smoothies', 'Healthy', 'Beverages']"
Turkiana Sweets,"['Speciality Store', 'Roastery', 'Nuts & Dried Fruit']"
Capsicum Restaurant,"['Pizza', 'Pasta', 'Burgers']"
New Shaheen Restaurant,"['Pakistani', 'BBQ', 'Indian']"
Scoop Of Sugar,['Cafe']
The Village Grill,"['Kebab', 'Grills', 'Turkish']"
Chaclate,"['Desserts', 'Sandwiches']"
Lebami Ornaments,"['Cosmetics', 'Specialty Store']"
Lazurd,"['Qatari', 'Arabic Sweets', 'Cakes']"
Shirvan Metisse,['International']
Verify Specialty Coffee,['Cafe']
Chennai Spices Restaurant,"['Asian', 'Soup']"
Pash Restaurant,"['International', 'Healthy']"
Tea Time premium,"['American', 'Burgers', 'Fast Food']"
Alsahran Restaurant,"['Qatari', 'BBQ', 'Burgers']"
Mba Mobiles,"['Electronics', 'Specialty Store']"
Blueberry Health Care International,['Pharmacy']
Hen Made,['Burgers']
Al Arrab Coffee,['Cafe']
BBFC Broasted,"['Arabic', 'Fast Food', 'Fried Chicken']"
Mamlakat Al Sheffaa Pharmacy,['Pharmacy']
Kairali Al Tanoor,"['Asian', 'Salad', 'Seafood']"
Mission Acai,"['Healthy', 'Acai', 'Desserts']"
Bamboo Asian Restaurant,"['Asian', 'Chinese']"
Charger Cafe,"['Coffee', 'Cafe']"
Turkish House Restaurant,"['Turkish', 'Shawarma', 'Grills']"
Matafi Cups,['American']
Seacrets Restaurant,['International']
Roses Breeze Flowers And Gifts,['Flowers']
Al Khariss Cafe,"['Lebanese', 'Arabic', 'Sandwiches']"
Indian Grill House Restaurant,"['Kebab', 'Grills']"
Mashaheer Brothers Restaurant,"['Qatari', 'Mandi', 'BBQ']"
Ci Gusta,"['Waffles', 'Desserts', 'International']"
House of Tea Restaurant,"['Fast Food', 'Smoothies', 'Sandwiches']"
Gadget Phone Accessories Trading,['Electronics']
Second Cup,"['Coffee', 'Cafe']"
Rosemary Cafe,"['Cakes', 'Cafe', 'International']"
Brisket Express Restaurant,"['International', 'American']"
Chaoua Cafe,"['Cafe', 'Desserts', 'Beverages']"
Istanbul Al Hadith Mashawi Restaurant,"['Arabic', 'Turkish']"
Aryaas Lounge,"['Breakfast', 'Indian', 'Curry']"
Hamam W Kware3,"['Egyptian', 'Grills']"
Aromas Ootupura,"['Asian', 'Indian', 'Chinese']"
Fresh Leaf,"['Chinese', 'Biryani', 'Street food']"
Shahad Al Jazeera,"['Arabic Sweets', 'Desserts', 'Egyptian']"
Cake Al Taybeen,"['Desserts', 'Beverages', 'Cakes']"
Central Bites,"['Sandwiches', 'Fast Food']"
Le Baroque Cafe,"['Cakes', 'Cafe', 'Desserts']"
First International,['Cosmetics']
Noor Turkey Restaurant,"['Doner', 'Street food']"
Dampa Seafood Village,"['Seafood', 'Pasta']"
Brisket Express Restaurant,"['International', 'American']"
Sayali's Cookies,"['Desserts', 'Healthy', 'Breakfast']"
BBFC Broasted,"['Arabic', 'Fast Food', 'Fried Chicken']"
Gulf Colours Flowers,['Flowers']
Grill Town Restaurant,"['Grills', 'Arabic']"
Baker And Cater,"['International', 'Bakery']"
Perfect Coffee,"['Cafe', 'Desserts', 'Beverages']"
Baalbek Restaurant,"['Seafood', 'Mandi']"
Shawarma Shaheen,"['Shawarma', 'Doner', 'Arabic']"
Sinyar Cafe,"['Cafe', 'Desserts', 'Coffee']"
Kora Trading,['Speciality Store']
Lelas Perfumes,['Perfume']
Zaman Al Khair Restaurant,"['Lebanese', 'BBQ', 'Grills']"
Al Shahoof For Popular Foods,"['Qatari', 'Kebab', 'Grills']"
Lemo,"['Beverages', 'Desserts']"
Karak Mqanes Signature,['Arabic']
Magic Corn,"['Qatari', 'Beverages', 'Desserts']"
Sema Restaurant,"['Turkish', 'Arabic', 'Lebanese']"
Twh Toys Trade Me,['Toys']
Myoffice Trading,"['Specialty Store', 'Stationary']"
Smiley Grocery,"['Grocery', 'Supermarket']"
L'Wzaar,"['Qatari', 'International', 'Fast Food']"
Wahed Burger,"['Burgers', 'Beverages']"
Sadu,"['Qatari', 'Healthy']"
Hellas Restaurant,"['Mezze', 'Grills', 'Greek']"
Al Wakra Men's Accessories,"['Speciality Store', 'Accessories ']"
Raydan Kitchen And Restaurant,"['Doner', 'Street food', 'Qatari']"
Oasis Restaurant,"['Cakes', 'Fruits', 'Desserts']"
Shawermar,"['Shawarma', 'Doner']"
Ottoman Palace Restaurant TGO,"['Turkish', 'Shawarma', 'BBQ']"
The Garden Village Restaurant,"['Breakfast', 'Indian']"
Basta,"['Breakfast', 'Qatari', 'Arabic']"
Seyidoglu,"['Coffee', 'Cafe']"
Loaded Cafe,"['Cafe', 'Desserts', 'Breakfast']"
Taha Restaurant,['Egyptian']
Mertos Restaurant,"['Chinese', 'Noodles', 'Seafood']"
New Istanbul Restaurant,"['Turkish', 'Grills', 'Sandwiches']"
Gadget Phone Accessories Trading,['Electronics']
Mix Bzar,['Specialty Store']
Zero Restaurant,"['Qatari', 'Beverages', 'Grills']"
Joya Cafe,"['Cafe', 'Desserts']"
Crust,"['American', 'Pizza']"
Pash Restaurant,"['International', 'Healthy']"
Never Overdose Cafe,"['Beverages', 'Cafe', 'Desserts']"
Fantasy Events Where Cakes Become Art,"['Desserts', 'Chocolate', 'Cakes']"
Le Bon Bon,"['Desserts', 'Chocolate', 'Pastries']"
Caika Factory,"['Cakes', 'Chocolate']"
Pompom Restaurant,"['Burgers', 'Sandwiches']"
ALFANNA,"['Mandi', 'Biryani', 'Seafood']"
Verify Specialty Coffee,['Cafe']
Earth Roastery,"['Specialty Store', 'Supermarket', 'Roastery', 'Grocery']"
Oop Ice Creamery,"['Ice Cream', 'Desserts']"
Mashwyaat Fresh Restaurant,"['Grills', 'BBQ', 'Kebab']"
Baklawa Aintab,"['Arabic', 'Desserts']"
The Eclair Kitchen,"['Qatari', 'Arabic Sweets', 'Cakes']"
Arab Gulf Pastry,"['Manaqeesh', 'Pies', 'Pizza']"
Mashmum And Yasmine Trading,['Flowers']
Rek,['Desserts']
Amorino Gelato,"['Ice Cream', 'Desserts', 'Italian']"
Raydan Kitchen And Restaurant,"['Doner', 'Street food', 'Qatari']"
TWG,['Speciality Store']
Ambula,['Asian']
Karak Stop,"['Qatari', 'Pastries', 'Sandwiches']"
Mark Out Cafe,"['Street food', 'Sandwiches']"
Brothers Trading Perfume,"['Perfume', 'Cosmetics']"
Jasmine,['Flowers']
Felfel Shattah Restaurant,['Egyptian']
Yugo,"['Thai', 'Korean', 'Japanese']"
Boojee Stickers,"['Speciality Store', 'Stationary']"
Milks,"['Cafe', 'Desserts', 'Milkshakes']"
3nb Leaves,"['Mezze', 'Arabic']"
Freshqa Farms For Food Products,"['Grocery', 'Supermarket']"
The Empanada House,"['International', 'Bakery', 'Pies']"
Turkish Barbecue House,"['Turkish', 'Grills']"
Meesh Cafe,"['Coffee', 'Cafe', 'Sandwiches']"
Saffron,['Thai']
Robin Cafe,"['Cafe', 'Desserts', 'Breakfast']"
Changayeeskada Restaurant,['Indian']
Flavors Cafe,"['Healthy', 'International']"
Pistacolate,"['Chocolate', 'Arabic Sweets', 'Cakes']"
Slider Nation,"['American', 'Burgers', 'Sliders']"
Spark Meals Preparation,['Beverages']
Al Raouche Restaurant,"['Arabic', 'Breakfast']"
Diet Delights,"['Cafe', 'Qatari', 'American']"
Double Shot Coffee,"['Cafe', 'Desserts', 'Fast Food']"
Olivio,"['Italian', 'Pasta', 'Fast Food']"
Moons Cafe,"['Cafe', 'Desserts', 'Beverages']"
Lahore Five Star Restaurant,"['Curry', 'Indian', 'Fast Food']"
Hattrick Cafe,"['Coffee', 'Cakes']"
Ezgawa Traditional Kitchen,"['Qatari', 'Mandi', 'Grills']"
Doha Rocks,"['Sandwiches', 'International', 'Cafeteria']"
Baladna,"['Arabic', 'Grills']"
Sleepy,['Speciality Store']
North Cafe,"['Desserts', 'Juices', 'Coffee']"
Al Anadol Central Restaurant,"['Turkish', 'Shawarma', 'Grills']"
Q Store,['Accessories ']
Wooden Bakery Grocery,"['Grocery', 'Specialty Store', 'Supermarket', 'Bread & Bakery']"
Half Mix Restaurant,"['Bakery', 'Shawarma', 'Grills']"
Pretty Flower,['Flowers']
Eva Lounge,"['Cafe', 'Desserts', 'International']"
911 Burger,"['Burgers', 'Fast Food']"
Lebami Trading And contracting,['Electronics']
Mug Coffee And Roastery,"['Coffee', 'Desserts', 'International']"
Zain Cafeteria Restaurant,"['Tacos', 'Beverages']"
Grill Lounge Restaurant,"['Grills', 'Shawarma & Doner', 'Burgers']"
Piccola Cucina,"['Italian', 'Pizza', 'Beverages']"
Serve Coffee,"['Cafe', 'Desserts']"
La Parrilla,"['Qatari', 'Grills', 'Sandwiches']"
Royal Palace Restaurant,"['Indian', 'BBQ', 'Chicken']"
The Portrait,"['American', 'Breakfast']"
Chick N Pot,"['Chicken', 'Burgers', 'Grills']"
Wakrah Paragon Restaurant,"['Chinese', 'Biryani', 'Street food']"
Ankara Pastries,"['Turkish', 'Shawarma & Doner', 'Grills']"
Shanghai Garden,"['Chinese', 'Asian', 'Noodles']"
Volar,['Electronics']
New Zam Zam Bakery,"['Bakery', 'Cakes']"
King Fish Seafood Restaurant,['Seafood']
Trader Vic's,"['Grills', 'Asian', 'Sushi']"
BesTea  by Milk Tea & Co.,"['Bubble tea', 'Cafe', 'International']"
Mechanic Restaurant,"['Sushi', 'Cafe', 'International']"
Farm King Vegetable,"['Specialty Store', 'Supermarket', 'Fruits & Vegetables', 'Grocery']"
AL FANAR PASTRY,"['Turkish', 'Breakfast', 'Pizza']"
Dar Maryam Brothers Restaurant,"['International', 'Desserts', 'Arabic']"
Al Reem Kitchen Popular,"['Qatari', 'Biryani', 'Bakery']"
Pure Market,"['Grocery', 'Supermarket', 'Convenience Store']"
Falk Tayb,['Arabic']
Philly Cheesesteak Cafe,"['Street food', 'Sandwiches']"
Melted Cafe,"['French', 'Cakes', 'Pastries']"
Cane Hut,"['Smoothies', 'Desserts']"
Udupi Restaurant,['Indian']
Le Bon Bon,"['Desserts', 'Chocolate', 'Pastries']"
Central Cafe and Restaurant,"['Seafood', 'Fish & chips']"
Off Cafe,"['Desserts', 'Cakes', 'Cafe']"
Shore Time,"['Filipino', 'Dumplings', 'Bowls']"
The Garden Village Restaurant,"['Breakfast', 'Indian']"
Asha's,['Indian']
Flaming Pizza Restaurant,"['Pizza', 'Fast Food', 'Italian']"
Layali Aley Restaurant,"['Mandi', 'Manaqeesh', 'Grills']"
Aish And Saffron Restaurant,"['Arabic', 'Asian']"
Chef Babu,"['Indian', 'Biryani']"
Matbakh Al Jalsa,"['Mandi', 'Arabic', 'Fast Food']"
Pastry Lebanons Cedar,"['Lebanese', 'Shawarma', 'Grills']"
ChaiGram,"['Burgers', 'Sandwiches', 'Juices', 'Breakfast']"
Sazeli Lounge,"['Turkish', 'International', 'Burgers']"
Monkey Burger,"['Burgers', 'Fast Food']"
Relief Pharmacy,['Pharmacy']
Diya Restaurant,['Indian']
West Village Restaurant,"['British', 'Acai', 'Desserts']"
Waves Speciality Coffee,"['French', 'Crepes', 'Desserts']"
Granola Acai,"['International', 'Cakes', 'Desserts']"
Flat 77 Cafe,"['Cafe', 'Desserts', 'Coffee']"
Kayk Sweets,"['Cakes', 'Ice cream', 'Desserts']"
Under 500,"['Healthy', 'Beverages', 'Breakfast']"
Spread,"['Healthy', 'Breakfast', 'Desserts']"
84 cafe,"['Street food', 'Asian']"
New Green Wealth Trading,['Cosmetics']
Big Rooster Fried Chicken,"['American', 'Burgers', 'Fried Chicken']"
Salad Boutique,"['Salad', 'Grills', 'Healthy']"
Al Gharafa Stationery,"['Specialty Store', 'Supermarket', 'Grocery']"
Pizza Ré,"['Pizza', 'Italian']"
Vox Cinemas,"['Beverages', 'Desserts', 'International']"
Deema Bnin Mart,"['Specialty Store', 'Supermarket', 'Convenience Store', 'Grocery']"
Orbee Plants & Flowers,['Flowers']
Sweet Sensation For Sweets And Pastry,"['Desserts', 'Pastries']"
talabat mart,"['Grocery', 'Supermarket']"
Aryaas Lounge,"['Breakfast', 'Indian', 'Curry']"
Mission Acai,"['Healthy', 'Acai', 'Desserts']"
Hollywood Stars,"['Fast Food', 'Sandwiches', 'Pasta']"
Lecco Restaurant,"['Italian', 'Pizza']"
Vital Cafe,['Coffee']
Babylon Restaurant,['Arabic']
Canopus Cafe,"['Beverages', 'Desserts']"
Maxill Restaurant,"['Qatari', 'BBQ', 'Grills']"
Abdel Wahab,"['Mezze', 'Healthy']"
Premium Brand Entertainment,['Electronics']
Bangs Fried Chicken,"['Curry', 'Breakfast']"
Faces Cafe,"['Street food', 'Pizza']"
Shawarma King,"['Arabic', 'Shawarma', 'Doner']"
Vapiano,"['Pizza', 'Healthy', 'Italian']"
Cravings,"['Desserts', 'Healthy', 'International']"
Smsm Doha Restaurant,"['Egyptian', 'Sandwiches', 'Seafood']"
Forsan Al Zubarah,"['Qatari', 'Arabic']"
Jaqar International Trading,"['Speciality Store', 'Accessories ']"
Shreeji Restaurant,"['Breakfast', 'Juices', 'Curry']"
Viola House Restaurant & Cafe,"['Arabic', 'Burgers', 'Cafe', 'Grills']"
Hooga Cafe,"['International', 'Cakes', 'Desserts']"
On Specialty Coffee,"['Beverages', 'Coffee', 'Desserts']"
Dairy Queen,"['Burgers', 'Fast Food', 'American']"
Alshaweesh,"['Arabic', 'Shawarma', 'Grills']"
Majboos Al Walaida,"['Arabic', 'Qatari']"
Tea Time premium,"['American', 'Burgers', 'Fast Food']"
At Home Doc,['Services']
Koshari Hot,['Egyptian']
Jamaco Restaurant,"['Qatari', 'Juices', 'Chicken']"
Freshqa Farms For Food Products,"['Grocery', 'Supermarket']"
Frit Flagey,"['American', 'Burgers']"
Tche Tche Express Restaurant,"['Sandwiches', 'Desserts', 'Pizza']"
Eglantria Trading and Events,"['Flowers', 'Specialty Store']"
Terracotta,['Burgers']
Royal Panoor Restaurant,"['Indian', 'Asian', 'Biryani']"
Ajeek Restaurant,"['Burgers', 'Beverages']"
The Rose Garden,['Flowers']
Le Vesuvio Restaurant,"['Italian', 'Pizza']"
Azaher Elteeb,['Pharmacy']
Chennai Restaurant,"['Chinese', 'Biryani', 'Street food']"
